"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"12888","MYOCD",-2.87754044625074,2.72418403401807,25.7459619259944,1.57544295051562e-06,"Q8IZQ8","Q8IZQ8","reviewed","MYCD_HUMAN","Myocardin","MYOCD MYCD","FUNCTION: Smooth muscle cells (SM) and cardiac muscle cells-specific transcriptional factor which uses the canonical single or multiple CArG boxes DNA sequence. Acts as a cofactor of serum response factor (SRF) with the potential to modulate SRF-target genes. Plays a crucial role in cardiogenesis, urinary bladder development, and differentiation of the smooth muscle cell lineage (myogenesis) (By similarity). {ECO:0000250, ECO:0000269|PubMed:12640126, ECO:0000269|PubMed:31513549}.","MYOCD","chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor binding [GO:0140297]; histone acetyltransferase binding [GO:0035035]; histone deacetylase binding [GO:0042826]; R-SMAD binding [GO:0070412]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription coactivator activity [GO:0003713]; cardiac muscle cell apoptotic process [GO:0010659]; cardiac muscle cell differentiation [GO:0055007]; cardiac muscle cell myoblast differentiation [GO:0060379]; cardiac vascular smooth muscle cell differentiation [GO:0060947]; cardiac ventricle development [GO:0003231]; cardiocyte differentiation [GO:0035051]; cellular component maintenance [GO:0043954]; digestive tract development [GO:0048565]; ductus arteriosus closure [GO:0097070]; lung alveolus development [GO:0048286]; negative regulation of amyloid-beta clearance [GO:1900222]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell adhesion molecule production [GO:0060354]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of platelet-derived growth factor receptor-beta signaling pathway [GO:2000587]; negative regulation of skeletal muscle cell differentiation [GO:2001015]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; negative regulation of vascular associated smooth muscle cell proliferation [GO:1904706]; positive regulation of cardiac muscle cell differentiation [GO:2000727]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of cell growth by extracellular stimulus [GO:0001560]; regulation of histone acetylation [GO:0035065]; regulation of myoblast differentiation [GO:0045661]; regulation of phenotypic switching [GO:1900239]; regulation of smooth muscle cell differentiation [GO:0051150]; response to hypoxia [GO:0001666]; smooth muscle cell differentiation [GO:0051145]; transcription by RNA polymerase II [GO:0006366]; urinary bladder development [GO:0060157]; uterus development [GO:0060065]; vasculogenesis [GO:0001570]; ventricular cardiac muscle cell differentiation [GO:0055012]","Q9HD26; P11831","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.","ENST00000343344.8 [Q8IZQ8-1];ENST00000425538.6 [Q8IZQ8-3];",0.000120349071641733
"12929","NACA",0.387745100550781,9.79853608970397,17.3274370964632,6.23286801481159e-05,"F8W029","F8W029","unreviewed","F8W029_HUMAN","Nascent polypeptide-associated complex subunit alpha","NACA","","NACA","nascent polypeptide-associated complex [GO:0005854]","","","ENST00000547914.5;",0.00268480103298801
"12963","NARS1",0.444453795210212,7.33424343253074,25.6842820228301,1.61684266378129e-06,"O43776","O43776","reviewed","SYNC_HUMAN","Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)","NARS1 NARS NRS","FUNCTION: Catalyzes the attachment of asparagine to tRNA(Asn) in a two-step reaction: asparagine is first activated by ATP to form Asn-AMP and then transferred to the acceptor end of tRNA(Asn) (PubMed:9421509, PubMed:32738225, PubMed:32788587). In addition to its essential role in protein synthesis, acts as a signaling molecule that induced migration of CCR3-expressing cells (PubMed:30171954, PubMed:12235211). Has an essential role in the development of the cerebral cortex, being required for proper proliferation of radial glial cells (PubMed:32788587). {ECO:0000269|PubMed:12235211, ECO:0000269|PubMed:30171954, ECO:0000269|PubMed:32738225, ECO:0000269|PubMed:32788587, ECO:0000269|PubMed:9421509}.","NARS1","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; asparagine-tRNA ligase activity [GO:0004816]; ATP binding [GO:0005524]; CCR3 chemokine receptor binding [GO:0031728]; nucleic acid binding [GO:0003676]; protein dimerization activity [GO:0046983]; asparaginyl-tRNA aminoacylation [GO:0006421]; cell migration [GO:0016477]; cerebral cortex development [GO:0021987]; tRNA aminoacylation for protein translation [GO:0006418]","P54253","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:9421509}.","ENST00000256854.10 [O43776-1];ENST00000540592.5 [O43776-2];",0.00012255416718181
"13003","NCAPD2",-0.385961739440674,7.04888946866773,16.1788576940764,0.000105431989868123,"F5H431","F5H431","unreviewed","F5H431_HUMAN","Condensin complex subunit 1","NCAPD2","","NCAPD2","","","","ENST00000539084.5;",0.00409092855924806
"13032","NCOA7",0.637477574313283,5.9473516129951,28.2713815608025,5.51029673015121e-07,"Q8NI08","Q8NI08","reviewed","NCOA7_HUMAN","Nuclear receptor coactivator 7 (140 kDa estrogen receptor-associated protein) (Estrogen nuclear receptor coactivator 1)","NCOA7 ERAP140 ESNA1 Nbla00052 Nbla10993","FUNCTION: Enhances the transcriptional activities of several nuclear receptors. Involved in the coactivation of different nuclear receptors, such as ESR1, THRB, PPARG and RARA. {ECO:0000269|PubMed:11971969}.","NCOA7","nucleus [GO:0005634]; nuclear receptor binding [GO:0016922]; nuclear receptor coactivator activity [GO:0030374]; negative regulation of cellular response to oxidative stress [GO:1900408]; negative regulation of oxidative stress-induced neuron death [GO:1903204]; negative regulation of peptidyl-cysteine S-nitrosylation [GO:1902083]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; response to oxidative stress [GO:0006979]","P35869; P27540; O95166; Q9H0R8","SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.","ENST00000229634.13 [Q8NI08-7];ENST00000368357.7 [Q8NI08-1];ENST00000392477.7 [Q8NI08-1];ENST00000438495.6 [Q8NI08-5];",4.957671952678e-05
"13039","NDC80",-0.381025301251833,8.53054438172484,14.8164659179384,0.000204592923354096,"O14777","O14777","reviewed","NDC80_HUMAN","Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)","NDC80 HEC HEC1 KNTC2","FUNCTION: Acts as a component of the essential kinetochore-associated NDC80 complex, which is required for chromosome segregation and spindle checkpoint activity (PubMed:9315664, PubMed:12351790, PubMed:14654001, PubMed:14699129, PubMed:15062103, PubMed:15235793, PubMed:15239953, PubMed:15548592, PubMed:16732327, PubMed:30409912). Required for kinetochore integrity and the organization of stable microtubule binding sites in the outer plate of the kinetochore (PubMed:15548592, PubMed:30409912). The NDC80 complex synergistically enhances the affinity of the SKA1 complex for microtubules and may allow the NDC80 complex to track depolymerizing microtubules (PubMed:23085020). Plays a role in chromosome congression and is essential for the end-on attachment of the kinetochores to spindle microtubules (PubMed:25743205, PubMed:23891108). {ECO:0000269|PubMed:12351790, ECO:0000269|PubMed:14654001, ECO:0000269|PubMed:14699129, ECO:0000269|PubMed:15062103, ECO:0000269|PubMed:15235793, ECO:0000269|PubMed:15239953, ECO:0000269|PubMed:15548592, ECO:0000269|PubMed:16732327, ECO:0000269|PubMed:23085020, ECO:0000269|PubMed:23891108, ECO:0000269|PubMed:25743205, ECO:0000269|PubMed:30409912, ECO:0000269|PubMed:9315664}.","NDC80","centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; Ndc80 complex [GO:0031262]; NMS complex [GO:0031617]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; cyclin binding [GO:0030332]; identical protein binding [GO:0042802]; kinetochore adaptor activity [GO:0140483]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; centrosome duplication [GO:0051298]; chromosome segregation [GO:0007059]; establishment of mitotic spindle orientation [GO:0000132]; G2/MI transition of meiotic cell cycle [GO:0008315]; kinetochore organization [GO:0051383]; metaphase plate congression [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly checkpoint signaling [GO:0007094]; mitotic spindle organization [GO:0007052]; positive regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090267]; positive regulation of protein localization to kinetochore [GO:1905342]; regulation of protein stability [GO:0031647]; spindle assembly involved in female meiosis I [GO:0007057]","Q9Y2J4; P18848; P48047; Q9Y5K8; Q8TC20-4; Q9P1Z2; Q8TD31-3; P51946; O75909; Q9H211; Q9H3R5; Q96MT8-3; Q9UBC2-3; Q8IYI6; Q8IZT9; Q08379; Q96CS2; O14964; O75146-2; Q8IY31; Q9BVG8-5; Q6P597; Q7Z3Y8; P04259; O95678; Q8TBB1; Q9NPJ6; P55081; O14777; Q9GZM8; Q9BZD4; Q96KQ4; Q6ZNE9; Q86XK3; Q96ES7; Q9HBM1; O75558; Q9UBB9; Q6I9Y2; Q15025; Q05BL1; Q13625-3; P33981-1; P40222; Q8N6Y0; Q8N1B4; Q9Y3C0; Q8N720; O95229","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9315664}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:14699129}. Note=Localizes to kinetochores from late prophase to anaphase (PubMed:14699129). Localizes specifically to the outer plate of the kinetochore (PubMed:14699129). {ECO:0000269|PubMed:14699129}.","ENST00000261597.9;",0.00679438823021097
"13046","NDRG2",-0.651124586832715,5.60517008963768,24.537821561804,2.62512695167755e-06,"Q9UN36","Q9UN36","reviewed","NDRG2_HUMAN","Protein NDRG2 (N-myc downstream-regulated gene 2 protein) (Protein Syld709613)","NDRG2 KIAA1248 SYLD","FUNCTION: Contributes to the regulation of the Wnt signaling pathway. Down-regulates CTNNB1-mediated transcriptional activation of target genes, such as CCND1, and may thereby act as tumor suppressor. May be involved in dendritic cell and neuron differentiation. {ECO:0000269|PubMed:12845671, ECO:0000269|PubMed:16103061, ECO:0000269|PubMed:21247902}.","NDRG2","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; growth cone [GO:0030426]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; cell differentiation [GO:0030154]; negative regulation of cytokine production [GO:0001818]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of vascular associated smooth muscle cell proliferation [GO:1904706]; regulation of platelet-derived growth factor production [GO:0090361]; regulation of vascular endothelial growth factor production [GO:0010574]; signal transduction [GO:0007165]; substantia nigra development [GO:0021762]; vascular associated smooth muscle cell proliferation [GO:1990874]; Wnt signaling pathway [GO:0016055]","P03372; Q9UI14","SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, perinuclear region. Cell projection, growth cone {ECO:0000250}. Note=In neurons, seems to concentrate at axonal growth cone. Perinuclear in neurons (By similarity). {ECO:0000250}.","ENST00000298684.9 [Q9UN36-4];ENST00000298687.9 [Q9UN36-1];ENST00000350792.7 [Q9UN36-2];ENST00000360463.7 [Q9UN36-2];ENST00000397844.6 [Q9UN36-5];ENST00000397847.6 [Q9UN36-3];ENST00000397851.6 [Q9UN36-1];ENST00000397853.7 [Q9UN36-1];ENST00000397858.5 [Q9UN36-1];ENST00000403829.7 [Q9UN36-6];ENST00000553503.5 [Q9UN36-2];ENST00000554143.5 [Q9UN36-2];ENST00000555158.5 [Q9UN36-2];ENST00000556147.6 [Q9UN36-1];",0.000183346366667879
"13148","NEURL1B",-0.596632800389997,6.03921043227657,24.8207247250887,2.32817898022452e-06,"A8MQ27","A8MQ27","reviewed","NEU1B_HUMAN","E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)","NEURL1B NEURL3","FUNCTION: E3 ubiquitin-protein ligase involved in regulation of the Notch pathway through influencing the stability and activity of several Notch ligands. {ECO:0000269|PubMed:19723503}.","NEURL1B","actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; early endosome [GO:0005769]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; Notch signaling pathway [GO:0007219]; ubiquitin-dependent endocytosis [GO:0070086]","","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19723503}.","ENST00000369800.6 [A8MQ27-1];ENST00000520919.5 [A8MQ27-3];ENST00000522853.5 [A8MQ27-2];",0.000164367755008198
"13153","NEXN",0.494787289324372,6.20391310864482,19.1514182248616,2.73959635468621e-05,"Q0ZGT2","Q0ZGT2","reviewed","NEXN_HUMAN","Nexilin (F-actin-binding protein) (Nelin)","NEXN","FUNCTION: Involved in regulating cell migration through association with the actin cytoskeleton. Has an essential role in the maintenance of Z line and sarcomere integrity. {ECO:0000269|PubMed:12053183, ECO:0000269|PubMed:15823560, ECO:0000269|PubMed:19881492}.","NEXN","actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; axon [GO:0030424]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; cell-cell adhesion mediator activity [GO:0098632]; structural constituent of muscle [GO:0008307]; axon guidance [GO:0007411]; dendrite self-avoidance [GO:0070593]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; regulation of cell migration [GO:0030334]; regulation of cytoskeleton organization [GO:0051493]","P51116; P15622-3; P10073","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9Z2J4}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q9Z2J4}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250|UniProtKB:Q9Z2J4}. Note=Localizes to the cell-matrix AJ. Not found at the cell-cell AJ. {ECO:0000250|UniProtKB:Q9Z2J4}.","ENST00000330010.12 [Q0ZGT2-4];ENST00000334785.12 [Q0ZGT2-1];",0.00136324545323775
"13173","NFKBIA",0.897119759729033,6.05681332139287,66.8212650035715,5.29778908796789e-13,"P25963","P25963","reviewed","IKBA_HUMAN","NF-kappa-B inhibitor alpha (I-kappa-B-alpha) (IkB-alpha) (IkappaBalpha) (Major histocompatibility complex enhancer-binding protein MAD3)","NFKBIA IKBA MAD3 NFKBI","FUNCTION: Inhibits the activity of dimeric NF-kappa-B/REL complexes by trapping REL dimers in the cytoplasm through masking of their nuclear localization signals. On cellular stimulation by immune and pro-inflammatory responses, becomes phosphorylated promoting ubiquitination and degradation, enabling the dimeric RELA to translocate to the nucleus and activate transcription. {ECO:0000269|PubMed:7479976}.","NFKBIA","cytoplasm [GO:0005737]; cytosol [GO:0005829]; I-kappaB/NF-kappaB complex [GO:0033256]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; NF-kappaB binding [GO:0051059]; nuclear localization sequence binding [GO:0008139]; ubiquitin protein ligase binding [GO:0031625]; apoptotic process [GO:0006915]; cellular response to cold [GO:0070417]; cellular response to tumor necrosis factor [GO:0071356]; cytoplasmic sequestering of NF-kappaB [GO:0007253]; cytoplasmic sequestering of transcription factor [GO:0042994]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of DNA binding [GO:0043392]; negative regulation of lipid storage [GO:0010888]; negative regulation of macrophage derived foam cell differentiation [GO:0010745]; negative regulation of myeloid cell differentiation [GO:0045638]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of Notch signaling pathway [GO:0045746]; Notch signaling pathway [GO:0007219]; nucleotide-binding oligomerization domain containing 1 signaling pathway [GO:0070427]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of inflammatory response [GO:0050729]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein import into nucleus [GO:0006606]; regulation of cell population proliferation [GO:0042127]; regulation of NIK/NF-kappaB signaling [GO:1901222]; response to exogenous dsRNA [GO:0043330]; response to muramyl dipeptide [GO:0032495]; response to muscle stretch [GO:0035994]; toll-like receptor 4 signaling pathway [GO:0034142]; tumor necrosis factor-mediated signaling pathway [GO:0033209]","O15111; Q8N668; P35221; Q9H0I2; Q9UKB1; P25098; P34947; Q9NWT6; O14920; Q9Y6K9; Q14511; Q14511-2; P19838; Q00653; P25963; Q96HA1-2; O43242; Q04864; Q04206; Q04206-2; P23396; P56279; P0CG48; Q60680-2; Q9J0X9; P14340; PRO_0000037965 [P14340]; PRO_0000038062 [P21530]; Q9E7P0","SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Shuttles between the nucleus and the cytoplasm by a nuclear localization signal (NLS) and a CRM1-dependent nuclear export. {ECO:0000250}.","ENST00000216797.10;",2.35462644100682e-10
